"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote","Exchange"
"IIIN","Insteel Industries, Inc.","36.48","$692.58M","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/iiin","NASDAQ"
"PODD","Insulet Corporation","42.3","$2.44B","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/podd","NASDAQ"
"INSY","Insys Therapeutics, Inc.","11.22","$807.36M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insy","NASDAQ"
"NTEC","Intec Pharma Ltd.","5.6","$64.11M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ntec","NASDAQ"
"IART","Integra LifeSciences Holdings Corporation","41.31","$3.09B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/iart","NASDAQ"
"IDTI","Integrated Device Technology, Inc.","23.71","$3.16B","1984","Technology","Semiconductors","http://www.nasdaq.com/symbol/idti","NASDAQ"
"INTC","Intel Corporation","35.74","$168.61B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/intc","NASDAQ"
"NTLA","Intellia Therapeutics, Inc.","13.83","$498.19M","2016","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/ntla","NASDAQ"
"IPCI","Intellipharmaceutics International Inc.","2.055","$61.96M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipci","NASDAQ"
"IPAR","Inter Parfums, Inc.","35.1","$1.09B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ipar","NASDAQ"
"IBKR","Interactive Brokers Group, Inc.","34.335","$14.06B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ibkr","NASDAQ"
"ICPT","Intercept Pharmaceuticals, Inc.","108.76","$2.7B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/icpt","NASDAQ"
"IDCC","InterDigital, Inc.","86.75","$2.98B","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/idcc","NASDAQ"
"TILE","Interface, Inc.","19","$1.22B","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/tile","NASDAQ"
"LINK","Interlink Electronics, Inc.","8.11","$59.43M","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/link","NASDAQ"
"IMI","Intermolecular, Inc.","0.82","$40.65M","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/imi","NASDAQ"
"INAP","Internap Corporation","3.35","$275.31M","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inap","NASDAQ"
"IBOC","International Bancshares Corporation","35","$2.31B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/iboc","NASDAQ"
"ISCA","International Speedway Corporation","38.6","$1.74B","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/isca","NASDAQ"
"IGLD","Internet Gold Golden Lines Ltd.","10.0079","$192.18M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/igld","NASDAQ"
"IIJI","Internet Initiative Japan, Inc.","8.4205","$771.64M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/iiji","NASDAQ"
"IDXG","Interpace Diagnostics Group, Inc.","2.16","$14.52M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/idxg","NASDAQ"
"XENT","Intersect ENT, Inc.","16.2","$464.58M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xent","NASDAQ"
"INTX","Intersections, Inc.","4.05","$96.94M","2004","Technology","EDP Services","http://www.nasdaq.com/symbol/intx","NASDAQ"
"IVAC","Intevac, Inc.","13.1","$280.21M","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ivac","NASDAQ"
"INTL","INTL FCStone Inc.","36.48","$679.98M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/intl","NASDAQ"
"ITCI","Intra-Cellular Therapies Inc.","13.965","$606.22M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itci","NASDAQ"
"IIN","IntriCon Corporation","8.9","$60.73M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/iin","NASDAQ"
"INTU","Intuit Inc.","118.66","$30.35B","1993","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/intu","NASDAQ"
"ISRG","Intuitive Surgical, Inc.","764.87","$28.09B","2000","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/isrg","NASDAQ"
"INVT","Inventergy Global, Inc.","0.27","$3.11M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/invt","NASDAQ"
"SNAK","Inventure Foods, Inc.","4.13","$81.31M","1996","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/snak","NASDAQ"
"ISTR","Investar Holding Corporation","21.95","$157.34M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/istr","NASDAQ"
"ISBC","Investors Bancorp, Inc.","14.315","$4.44B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/isbc","NASDAQ"
"ITIC","Investors Title Company","159.6","$300.78M","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/itic","NASDAQ"
"NVIV","InVivo Therapeutics Holdings Corp.","3.6","$115.6M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nviv","NASDAQ"
"IVTY","Invuity, Inc.","7.85","$133.21M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ivty","NASDAQ"
"IONS","Ionis Pharmaceuticals, Inc.","39.14","$4.85B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ions","NASDAQ"
"IPAS","iPass Inc.","1.25","$82.23M","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/ipas","NASDAQ"
